SchaefferID,inC1,inC2,inC3,inC4,Assignment
274,0,0,0,0,0
275,0,0,0,1,4
276,0,0,1,0,3
277,0,0,1,0,3
278,0,0,0,0,0
279,0,0,1,0,3
280,0,0,1,0,3
281,0,0,0,0,0
282,0,0,1,0,3
283,1,0,1,0,5
284,0,0,1,0,3
285,0,1,0,0,2
286,0,0,1,0,3
287,0,1,1,0,5
288,0,1,1,0,5
289,0,1,1,0,5
290,1,0,1,0,5
291,0,0,1,0,3
292,0,0,1,0,3
293,0,0,0,0,0
294,0,0,0,0,0
295,0,1,0,1,5
296,0,0,0,0,0
297,0,0,0,0,0
298,0,0,0,0,0
299,0,0,0,0,0
300,0,0,0,0,0
301,0,0,0,0,0
302,0,1,0,0,2
303,0,0,0,0,0
304,0,0,0,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,1,4
310,0,0,0,0,0
311,0,0,0,0,0
312,0,1,0,0,2
313,0,0,0,0,0
314,0,0,1,0,3
315,0,0,1,0,3
316,1,0,1,0,5
317,1,0,1,0,5
318,0,0,1,0,3
319,0,0,0,0,0
320,0,0,0,0,0
321,0,1,0,0,2
322,0,0,0,0,0
323,0,1,0,0,2
324,0,1,0,0,2
325,0,1,0,1,5
326,0,1,0,0,2
327,0,1,0,0,2
328,0,1,0,1,5
329,0,1,0,0,2
330,0,1,0,1,5
331,0,1,0,0,2
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,1,0,3
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,0
340,0,1,0,0,2
341,1,0,0,0,1
342,0,0,0,0,0
343,1,0,0,0,1
344,0,0,0,0,0
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,1,0,0,0,1
349,0,0,0,0,0
350,0,0,0,0,0
351,0,0,0,1,4
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,1,0,3
356,0,0,0,0,0
357,0,0,0,0,0
358,1,0,0,0,1
359,0,0,0,0,0
360,1,0,0,0,1
361,0,0,0,0,0
362,0,1,0,0,2
363,0,1,0,0,2
364,0,1,0,0,2
365,0,0,0,0,0
366,0,0,0,0,0
367,0,1,0,0,2
368,0,1,0,0,2
369,0,0,0,0,0
370,0,1,0,0,2
371,0,1,0,0,2
372,0,1,0,0,2
373,0,1,0,0,2
374,0,1,0,0,2
375,0,1,0,0,2
376,0,0,0,0,0
377,0,1,0,0,2
378,0,0,0,0,0
379,0,1,0,0,2
380,0,0,0,0,0
381,1,0,0,0,1
382,1,1,0,0,5
383,0,0,0,0,0
384,0,0,0,0,0
385,0,0,0,0,0
386,1,0,0,0,1
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,0,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,1,0,3
395,0,0,0,0,0
