PicSeq_AgeAdj,CardSort_AgeAdj,Flanker_AgeAdj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,ReadEng_AgeAdj,PicVocab_AgeAdj,ProcSpeed_AgeAdj,DDisc_AUC_200,DDisc_AUC_40K,VSPLOT_TC,VSPLOT_CRTE,VSPLOT_OFF,SCPT_SEN,SCPT_SPEC,IWRD_TOT,IWRD_RTC,ListSort_AgeAdj
130.24,85.56,92.18,21.0,0.0,23279.0,113.07,111.04,68.08,0.30084792,0.37916687,17.0,1391.25,19.0,0.95,0.925,40.0,1435.0,113.85
96.13,96.77,84.67,8.0,11.0,4875.0,94.68,68.71,96.94,0.015691666,0.015625208999999998,5.0,1001.8182,131.0,0.9833,0.9,33.0,1677.5,80.7
121.69,101.48,89.57,20.0,0.0,24555.0,88.82562,87.21114,121.65,0.29017082,0.55729187,19.0,1091.4286,17.0,0.9167,0.9917,38.0,1360.0,103.57
117.47,90.98,103.74,17.0,2.0,9210.0,129.8786,133.1794,92.66,0.44043124,0.5071617,18.0,1136.325,16.0,1.0,0.925,37.0,1085.0,118.14
101.87,94.14,108.15,19.0,0.0,7889.0,93.4631,109.1893,112.44,0.242775,0.96328145,18.0,1097.4375,18.0,0.9833,0.975,39.0,1292.5,89.14
85.4,96.05,89.05,10.0,9.0,3635.0,86.4437,97.16158,92.66,0.08691563,0.16015646,15.0,1177.0,22.0,0.8667,0.9333,35.0,1690.0,85.26
105.2,115.3,108.67,20.0,0.0,23350.5,125.3195,140.2298,137.14,0.12728019999999998,0.39804709999999993,12.0,1136.4286,21.0,0.9833,0.9333,40.0,1022.5,108.26
116.16,85.97,101.18,14.0,5.0,10025.5,102.75,119.12,91.72,0.39095208,0.20117208,16.0,1469.5,22.0,0.9833,0.9833,33.0,1945.25,89.14
111.75,118.6,112.02,20.0,0.0,18205.0,126.7981,102.0919,75.77,0.2849625,0.54921895,19.0,1152.5,12.0,0.8333,0.975,36.0,1440.0,108.26
83.54,110.59,105.81,12.0,7.0,12230.0,92.13217,127.3658,104.97,0.15501459,0.26145855,22.0,1127.1428,9.0,0.95,0.975,33.0,1180.0,94.33
121.69,90.16,100.65,15.0,4.0,8550.0,115.78,124.94,71.09,0.19603021,0.19570333,12.0,1215.9148,24.0,1.0,0.9583,33.0,1277.5,118.14
72.74,112.64,108.99,21.0,0.0,14580.0,98.92,100.98,105.63,0.09980625,0.21093771,17.0,1259.1818,13.0,0.9333,0.95,34.0,1722.5,98.44
67.68,99.68,89.57,21.0,0.0,33184.0,122.2756,113.6893,112.44,0.6891292,0.7453126999999999,13.0,1395.9,26.0,0.9,0.9667,39.0,1147.5,89.14
130.24,115.13,113.44,23.0,0.0,29150.0,132.5669,149.1974,87.33,0.4459,0.71328145,23.0,880.0,7.0,0.9833,0.95,40.0,1177.5,118.14
111.75,108.72,116.11,9.0,10.0,6140.0,74.45,94.03,90.71,0.2224625,0.8835940000000001,15.0,1047.7778,19.0,0.9167,0.9167,36.0,1535.0,118.14
91.63,89.1,99.5,8.0,11.0,3552.0,100.79,106.09,79.65,0.26673332,0.60390645,9.0,807.0,51.0,0.9833,0.9417,36.0,1360.0,98.44
121.69,115.7,92.74,8.0,11.0,4855.0,113.0923,96.5797,82.24,0.10006667,0.28971374,20.0,901.7094,12.0,0.9833,0.9417,33.0,1375.0,113.85
118.78,104.28,112.02,21.0,0.0,21479.0,119.0103,123.15700000000001,74.17,0.3318375,0.41809916,10.0,923.26624,28.0,0.9667,0.9417,31.0,1742.5,98.44
112.44,105.33,105.31,20.0,0.0,12570.0,105.5519,108.1369,97.87,0.11022291,0.48203146,10.0,1003.8542,33.0,0.9833,0.9833,34.0,1320.0,123.73
